"PORTARIA GM/MS Nº 3.896, DE 30 DE DEZEMBRO DE 2020",23141077.58,2021/01/08,"Os recursos orçamentários, objeto desta Portaria, correrão por conta do orçamento do Ministério da Saúde, devendo onerar o Programa de Trabalho:

I - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 969, de 20 de maio de 2020;

II - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 967, de 19 de maio de 2020.

III - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 976, de 04 de junho de 2020.",PAGO," A utilização dos recursos financeiros de que trata esta Portaria está condicionada à pactuação em Comissão Intergestores Bipartite (CIB) e Colegiado de Gestão do Distrito Federal, estabelecendo o montante aos municípios e a parcela sob gestão estadual, observados os respectivos planos de ação no enfrentamento da COVID-19, bem como o fortalecimento da Atenção à Saúde em todas as Macrorregiões de Saúde."
"PORTARIA GM/MS Nº 373, DE 2 DE MARÇO DE 2021",1440000,2021/03/15,"Programa de Trabalho: 10.302.5018 8585 6500 - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade - Nacional (Plano Orçamentário - CVBO - Medida Provisória nº 1.032, de 24 de fevereiro de 2021).",PAGO,"Dispõe sobre o procedimento para autorização de leitos de Unidade de Terapia Intensiva - UTI Adulto e Pediátrico COVID-19, em caráter excepcional e temporário."
"PORTARIA GM/MS Nº 373, DE 2 DE MARÇO DE 2021",1440000,2021/03/24,"Programa de Trabalho: 10.302.5018 8585 6500 - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade - Nacional (Plano Orçamentário - CVBO - Medida Provisória nº 1.032, de 24 de fevereiro de 2021).",PAGO,"Dispõe sobre o procedimento para autorização de leitos de Unidade de Terapia Intensiva - UTI Adulto e Pediátrico COVID-19, em caráter excepcional e temporário."
"PORTARIA GM/MS Nº 501, DE 19 DE MARÇO DE 2021",336000,2021/03/25," Programa de Trabalho: 10.302.5018.8585.6500 - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade (Plano Orçamentário - CVB0 - Medida Provisória nº 1.032, de 24 de fevereiro de 2021).",PAGO,"Autoriza leitos de Unidades de Terapia Intensiva - UTI, para atendimento exclusivo dos pacientes COVID-19."
"PORTARIA GM/MS Nº 557, DE 26 DE MARÇO DE 2021",2640000,2021/04/05," Programa de Trabalho: 10.302.5018.8585.6500 - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade (Plano Orçamentário - CVB0 - Medida Provisória nº 1.032, de 24 de fevereiro de 2021).",PAGO,"Autoriza leitos de Unidades de Terapia Intensiva - UTI, para atendimento exclusivo dos pacientes COVID-19."
"PORTARIA GM/MS Nº 559, DE 26 DE MARÇO DE 2021",4512000,2021/04/05,"Programa de Trabalho: 10.302.5018.8585.6500 - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade (Plano Orçamentário - CVB0 - Medida Provisória nº 1.032, de 24 de fevereiro de 2021).",PAGO,"Autoriza leitos de Unidades de Terapia Intensiva - UTI, para atendimento exclusivo dos pacientes COVID-19."
"PORTARIA GM/MS Nº 567, DE 29 DE MARÇO DE 2021",480000,2021/04/08,"Programa de Trabalho: 10.302.5018.8585.6500 - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade (Plano Orçamentário - CVB0 - Medida Provisória nº 1.032, de 24 de fevereiro de 2021).",PAGO,"Autoriza leitos de Unidades de Terapia Intensiva - UTI, para atendimento exclusivo dos pacientes COVID-19."
"PORTARIA GM/MS Nº 624, DE 6 DE ABRIL DE 2021",432000,2021/04/16,"Programa de Trabalho: 10.302.5018.8585.6500 - Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade (Plano Orçamentário - CVB0 - Medida Provisória nº 1.032, de 24 de fevereiro de 2021).",PAGO,"Autoriza leitos de Unidades de Terapia Intensiva - UTI, para atendimento exclusivo dos pacientes COVID-19."
,,,,,
"Total ",156320467.31,,,,
